"Site","Institution","N","Percentage"
"YA","Yale University",35,"19.66"
"IR","University of California, Irvine",18,"10.11"
"LA","University of California, Los Angeles",15,"8.43"
"TE","Temple University",12,"6.74"
"WU","Washington University in St. Louis",12,"6.74"
"HA","Harvard University / Brigham & Women's Hospital",10,"5.62"
"NC","University of North Carolina at Chapel Hill",10,"5.62"
"SF","University of California, San Francisco",10,"5.62"
"OR","University of Oregon",9,"5.06"
"NN","Northwestern University",8,"4.49"
"NL","The Zucker Hillside Hospital (Northwell Health)",7,"3.93"
"SD","University of California, San Diego",7,"3.93"
"SI","Icahn School of Medicine at Mount Sinai",7,"3.93"
"GA","University of Georgia",6,"3.37"
"PI","University of Pittsburgh",5,"2.81"
"PA","University of Pennsylvania",3,"1.69"
"OH","Ohio State University",2,"1.12"
"UR","Rochester University",2,"1.12"
"Total","All Sites",178,"100.00"
